date,atlfed_as_of,meeting_date,target_rate_pct,target_bps,kalshi_bid,kalshi_ask,kalshi_mid_pct,atlfed_prob_pct,spread_pp,kalshi_oi,kalshi_vol_24h
2026-05-28,2026-05-26,2027-04-28,3.25,325,56.99999999999999,66.0,61.5,,,1753.69,15.0
2026-05-28,2026-05-26,2027-04-28,3.0,300,55.00000000000001,57.99999999999999,56.49999999999999,,,1037.28,64.58
2026-05-28,2026-05-26,2027-04-28,2.75,275,53.0,70.0,61.5,,,904.01,5.0
2026-05-28,2026-05-26,2027-04-28,2.5,250,17.0,89.0,53.0,,,722.34,4.0
2026-05-28,2026-05-26,2027-04-28,2.25,225,32.0,96.0,64.0,,,1025.1,6.0
2026-05-28,2026-05-26,2027-04-28,2.0,200,34.0,94.0,64.0,,,681.0,51.0
2026-05-28,2026-05-26,2027-04-28,1.75,175,49.0,96.0,72.5,,,570.94,17.0
2026-05-28,2026-05-26,2027-04-28,1.5,150,60.0,97.0,78.49999999999999,,,733.01,46.0
2026-05-28,2026-05-26,2027-04-28,1.25,125,70.0,84.0,77.0,,,512.43,21.0
2026-05-28,2026-05-26,2027-04-28,1.0,100,65.0,97.0,81.0,,,415.0,4.0
2026-05-28,2026-05-26,2027-04-28,0.75,75,72.0,98.0,85.0,,,935.0,0.0
2026-05-28,2026-05-26,2027-04-28,0.5,50,70.0,100.0,85.0,,,1108.0,0.0
2026-05-28,2026-05-26,2027-04-28,0.25,25,77.0,100.0,88.5,,,717.0,0.0
2026-05-28,2026-05-26,2027-03-17,4.25,425,14.000000000000002,23.0,18.5,26.05521104220844,-7.555211042208441,843.25,6.0
2026-05-28,2026-05-26,2027-03-17,4.0,400,18.0,27.0,22.5,39.75795159031807,-17.257951590318072,290.0,0.0
2026-05-28,2026-05-26,2027-03-17,3.75,375,28.000000000000004,32.0,30.000000000000004,58.331666333266654,-28.33166633326665,336.0,0.0
2026-05-28,2026-05-26,2027-03-17,3.5,350,34.0,43.0,38.5,76.01520304060814,-37.51520304060814,337.0,0.0
2026-05-28,2026-05-26,2027-03-17,3.25,325,49.0,57.99999999999999,53.49999999999999,87.75755151030206,-34.25755151030207,489.0,0.0
2026-05-28,2026-05-26,2027-03-17,3.0,300,60.0,67.0,63.5,93.8487697539508,-30.348769753950805,259.01,1.0
2026-05-28,2026-05-26,2027-03-17,2.75,275,71.0,78.0,74.5,97.03940788157632,-22.539407881576324,287.0,3.0
2026-05-28,2026-05-26,2027-03-17,2.5,250,79.0,87.0,83.0,98.93978795759153,-15.939787957591534,137.0,0.0
2026-05-28,2026-05-26,2027-03-17,2.25,225,84.0,93.0,88.5,100.0,-11.5,748.06,0.0
2026-05-28,2026-05-26,2027-03-17,2.0,200,86.0,95.0,90.5,100.0,-9.5,662.02,0.0
2026-05-28,2026-05-26,2027-03-17,1.75,175,87.0,96.0,91.5,100.0,-8.5,109.0,0.0
2026-05-28,2026-05-26,2027-03-17,1.5,150,87.0,96.0,91.5,100.0,-8.5,140.0,0.0
2026-05-28,2026-05-26,2027-03-17,1.25,125,88.0,97.0,92.5,100.0,-7.5,275.0,0.0
2026-05-28,2026-05-26,2027-03-17,1.0,100,89.0,98.0,93.5,100.0,-6.5,470.0,0.0
2026-05-28,2026-05-26,2027-03-17,0.75,75,90.0,99.0,94.5,100.0,-5.5,512.0,0.0
2026-05-28,2026-05-26,2027-03-17,0.5,50,90.0,99.0,94.5,100.0,-5.5,167.0,0.0
2026-05-28,2026-05-26,2027-03-17,0.25,25,91.0,100.0,95.5,100.0,-4.5,322.0,0.0
2026-05-28,2026-05-26,2027-01-27,4.25,425,3.0,10.0,6.5,,,218.9,0.0
2026-05-28,2026-05-26,2027-01-27,4.0,400,31.0,37.0,34.0,,,509.9,1.0
2026-05-28,2026-05-26,2027-01-27,3.75,375,36.0,55.00000000000001,45.5,,,291.21,1.0
